step,queue,waiting,throughput
50,10.0,30.0,0
51,22.0,181.0,0
52,29.0,446.0,1
53,18.0,222.0,1
54,6.0,69.0,0
55,12.0,158.0,2
56,8.0,28.0,0
57,15.0,138.0,3
58,8.0,27.0,0
59,7.0,27.0,3
60,18.0,159.0,3
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,20.0,0
7,5.0,12.0,0
8,4.0,13.0,0
9,7.0,62.0,0
10,5.0,6.0,1
11,6.0,21.0,0
12,7.0,77.0,2
13,14.0,169.0,2
14,16.0,305.0,2
15,9.0,49.0,2
16,11.0,40.0,1
17,19.0,192.0,0
18,24.0,411.0,1
19,29.0,664.0,2
20,32.0,958.0,2
21,37.0,1294.0,1
22,41.0,1663.0,2
23,41.0,2058.0,1
24,36.0,1425.0,2
25,27.0,499.0,1
26,15.0,63.0,0
27,11.0,34.0,0
28,11.0,40.0,2
29,11.0,35.0,1
30,12.0,32.0,3
31,12.0,30.0,1
32,11.0,36.0,2
33,11.0,80.0,2
34,14.0,148.0,2
35,9.0,36.0,1
36,15.0,59.0,1
37,15.0,31.0,2
38,19.0,159.0,0
39,16.0,92.0,2
40,22.0,95.0,4
41,10.0,53.0,2
42,21.0,217.0,4
43,38.0,513.0,1
44,32.0,449.0,3
45,22.0,236.0,0
46,9.0,28.0,2
47,9.0,70.0,2
48,6.0,26.0,1
49,14.0,38.0,1
50,11.0,100.0,3
51,14.0,208.0,2
52,9.0,31.0,2
53,9.0,26.0,2
54,8.0,26.0,2
55,21.0,167.0,1
56,23.0,163.0,2
57,13.0,47.0,2
58,21.0,178.0,3
59,21.0,104.0,3
60,12.0,47.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,5.0,39.0,0
7,12.0,113.0,0
8,4.0,9.0,0
9,8.0,32.0,0
10,16.0,141.0,1
11,18.0,294.0,2
12,22.0,488.0,2
13,18.0,176.0,3
14,9.0,61.0,0
15,10.0,149.0,1
16,15.0,260.0,1
17,19.0,406.0,0
18,22.0,599.0,2
19,15.0,166.0,1
20,11.0,36.0,0
21,12.0,42.0,2
22,10.0,73.0,0
23,9.0,25.0,1
24,5.0,28.0,1
25,12.0,106.0,2
26,15.0,231.0,2
27,8.0,43.0,2
28,11.0,34.0,3
29,4.0,12.0,3
30,8.0,61.0,1
31,5.0,20.0,2
32,8.0,20.0,1
33,11.0,109.0,1
34,17.0,232.0,2
35,20.0,401.0,2
36,6.0,23.0,2
37,8.0,66.0,2
38,7.0,22.0,1
39,11.0,104.0,0
40,4.0,11.0,2
41,9.0,36.0,2
42,13.0,141.0,1
43,17.0,291.0,0
44,22.0,466.0,1
45,7.0,37.0,3
46,7.0,19.0,0
47,6.0,18.0,2
48,8.0,70.0,1
49,13.0,171.0,1
50,16.0,306.0,2
51,8.0,18.0,4
52,8.0,33.0,2
53,4.0,17.0,3
54,10.0,72.0,0
55,6.0,18.0,2
56,5.0,26.0,2
57,11.0,107.0,0
58,16.0,232.0,1
59,3.0,8.0,3
60,12.0,50.0,1
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,45.0,0
7,5.0,9.0,0
8,7.0,57.0,0
9,3.0,7.0,1
10,8.0,56.0,0
11,3.0,7.0,1
12,7.0,47.0,0
13,10.0,121.0,0
14,14.0,233.0,1
15,18.0,387.0,1
16,13.0,79.0,3
17,7.0,28.0,0
18,21.0,179.0,1
19,16.0,118.0,1
20,8.0,33.0,1
21,23.0,183.0,2
22,14.0,81.0,2
23,9.0,37.0,0
24,23.0,190.0,1
25,33.0,471.0,1
26,36.0,810.0,1
27,41.0,1187.0,2
28,27.0,623.0,2
29,18.0,214.0,1
30,12.0,146.0,0
31,9.0,38.0,1
32,22.0,197.0,2
33,15.0,104.0,1
34,8.0,50.0,3
35,11.0,138.0,3
36,15.0,264.0,3
37,10.0,42.0,2
38,16.0,173.0,3
39,19.0,346.0,1
40,8.0,28.0,0
41,10.0,43.0,0
